"IDNUMBER","SMILES"
"ASN 00356353","C1CCN(CC2CNCCO2)CC1"
"ASN 00387070","CCN(CC)CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1"
"ASN 00396134","CCn1c(N2CCN(C(=O)c3ccccc3)CC2)nc2c1c(=O)n(C)c(=O)n2C"
"ASN 00443093","CCC(CO)NC1CC(C)N(C)CC1C"
"ASN 00446380","NCCC1(O)CCCCC1"
"ASN 00460249","CN(C)CCCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2"
"ASN 00460725","O=C1Nc2ccc(S(=O)(=O)NCCc3ccc(Cl)cc3)c3cccc1c23"
"ASN 00460764","COc1ccc(OC)c(NS(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3)c1"
"ASN 00462077","O=C(O)CCC(=O)NNC(=O)c1ccc(Cl)cc1"
"ASN 00571356","c1ccc2c(c1)NCC2CN1CCOCC1"
"ASN 00589785","O=C(Nc1ccc(-c2ccc(Cl)cc2)cc1)c1ccccc1"
"ASN 00655298","N#Cc1c(NC(=O)CNC2CCCCC2)sc2c1CCCC2"
"ASN 00686804","O=C(O)c1cc(O)nc(-c2ccccc2)n1"
"ASN 00692434","COc1ccc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)cc1"
"ASN 00692462","CC1CCc2c(sc(NC(=O)/C=C/C(=O)O)c2C#N)C1"
"ASN 00692466","CC1CCc2c(sc(/N=C/c3c(O)ccc4ccccc34)c2C#N)C1"
"ASN 00692468","COc1ccc(/C=N/c2sc3c(c2C#N)CCC(C)C3)c(OC)c1"
"ASN 00692471","CC1CCc2c(sc(/N=C/c3ccc(Br)cc3)c2C#N)C1"
"ASN 00692474","CCN(CC)c1ccc(/C=N/c2sc3c(c2C#N)CCC(C)C3)cc1"
"ASN 00692478","CC1CCc2c(sc(/N=C/c3ccc(N(C)C)cc3)c2C#N)C1"
"ASN 00692502","O=C(COc1ccc(/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1)Nc1cccc([N+](=O)[O-])c1"
"ASN 00727634","N#Cc1c(N)nc2c(c1-c1ccccc1)CCc1ccccc1-2"
"ASN 00727635","CC1CCCc2c1nc(N)c(C#N)c2-c1ccccc1"
"ASN 00727645","COc1ccc(-c2c(C#N)c(N)nc3c2CCCC3C)cc1"
"ASN 00727650","COc1cc(-c2cc(-c3ccc(Br)cc3)nc(N)c2C#N)ccc1O"
"ASN 00727660","CN(C)c1ccc(-c2cc(-c3ccccc3)c(C#N)c(N)n2)cc1"
"ASN 00727662","COc1ccc(-c2cc(-c3ccc(N)cc3)nc(N)c2C#N)cc1"
"ASN 00727675","COc1ccc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)cc1OC"
"ASN 00727679","COc1ccc(-c2c(C)c(C)nc(N)c2C#N)cc1OC"
"ASN 00727691","COc1ccc(OC)c(/C=N/c2sc3c(c2C#N)CCC(C)C3)c1"
"ASN 00727718","CCc1nc(N)c(C#N)c(-c2ccc3c(c2)OCO3)c1C"
"ASN 00758911","O=C(Nc1ccc2ccc3cccc4ccc1c2c34)c1sc2ccccc2c1Cl"
"ASN 00758912","CCc1nc(N)c(C#N)c(-c2ccc(O)c(OC)c2)c1C"
"ASN 00758915","Cc1sc2nc(C)n(/N=C/c3ccc(-c4ccccc4)cc3)c(=O)c2c1C"
"ASN 00758917","CCOc1cc(/C=N/n2c(C)nc3sc(C)c(C)c3c2=O)ccc1O"
"ASN 00758923","COc1cc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)ccc1O"
"ASN 00758926","O=C(CN1CCOCC1)Nc1ccccc1-c1ccccc1"
"ASN 00758932","N=C(N)SCC(=O)Nc1ccccc1"
"ASN 00758948","CC1CCc2c(sc(/N=C/c3ccc(C(C)(C)C)cc3)c2C#N)C1"
"ASN 00758959","CCCCCc1c(-c2ccc(Cl)cc2)nc(N)c(C#N)c1-c1ccc(OC)c(OC)c1"
"ASN 00758976","O=C(CNC1CCCCC1)Nc1cccc(C(F)(F)F)c1"
"ASN 00758978","O=C(CN(CC(=O)Nc1cccc(C(F)(F)F)c1)C1CCCCC1)Nc1cccc(C(F)(F)F)c1"
"ASN 00758982","Cc1nc(N)c(C#N)c(-c2ccc3c(c2)OCO3)c1C"
"ASN 00758986","N#Cc1c(N)nc2c(c1-c1ccc3c(c1)OCO3)CCc1ccccc1-2"
"ASN 00758996","COc1ccc(-c2cc(-c3ccccc3)c(C#N)c(SCC(=O)Nc3sc4c(c3C#N)CCCC4)n2)cc1"
"ASN 00759005","COc1ccc(-c2cc(-c3ccccc3)c3c(N)c(C(=O)Nc4c(C)cccc4C)sc3n2)cc1"
"ASN 00801612","COc1ccc(-c2cc(-c3ccccc3)nc(SCc3ccc(C)cc3)c2C#N)cc1"
"ASN 00801621","O=Cc1ccc(OCC(=O)Nc2ccccc2-c2ccccc2)cc1"
"ASN 00801622","CCCCc1c(-c2ccccc2)nc(N)c(C#N)c1-c1ccccc1"
"ASN 00801624","O=C(CN1CCC(Cc2ccccc2)CC1)Nc1ccccc1-c1ccccc1"
"ASN 00801625","O=C(Cn1cnc2ccccc21)Nc1ccccc1-c1ccccc1"
"ASN 00801628","COc1ccccc1-c1cc(-c2ccc(C)o2)nc(N)c1C#N"
"ASN 00801629","COc1ccc(-c2cc(-c3ccc(NC(C)=O)cc3)nc(N)c2C#N)cc1"
"ASN 00801630","CC(=O)Nc1ccc(-c2cc(-c3ccccc3)c(C#N)c(N)n2)cc1"
"ASN 00801632","COc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N)c1C#N"
"ASN 00801635","CC1CCN(CC(=O)Nc2ccccc2-c2ccccc2)CC1"
"ASN 00801638","COc1ccccc1-c1cc(-c2ccc(NC(C)=O)cc2)nc(N)c1C#N"
"ASN 00801640","COc1ccc(-c2cc(-c3ccc(Cl)s3)nc(N)c2C#N)cc1"
"ASN 00801641","O=C(CN1CCN(Cc2ccccc2)CC1)Nc1ccccc1-c1ccccc1"
"ASN 00801645","Cc1ccc(NC(=O)COc2ccc(OCc3ccccc3)cc2)cc1C"
"ASN 00801649","Cc1ccc(-c2cc(-c3ccccc3)c(C#N)c(SCC(=O)Nc3ccc(C)c(C)c3)n2)cc1"
"ASN 00801650","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccc(C)c(C)c3)c2C#N)cc1"
"ASN 00801656","CCOc1cc(-c2cc(-c3ccc(O)cc3)nc(N)c2C#N)ccc1O"
"ASN 00801658","COc1ccc(-c2cc(-c3ccc(C)o3)nc(N)c2C#N)cc1OC"
"ASN 00801659","COc1ccc(-c2cc(-c3ccc(N)cc3)nc(N)c2C#N)cc1OC"
"ASN 00801660","COc1ccc(-c2cc(-c3ccc(NC(C)=O)cc3)nc(N)c2C#N)cc1OC"
"ASN 00801661","COc1ccc(-c2c(C#N)c(N)nc3c2CCc2ccccc2-3)cc1OC"
"ASN 00801670","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3cccc(C(F)(F)F)c3)c2C#N)cc1OC"
"ASN 00801671","COc1ccc(-c2cc(-c3ccccc3)nc3sc(C(=O)Nc4ccccc4)c(N)c23)cc1OC"
"ASN 00801677","COc1ccc(-c2cc(C)nc(N)c2C#N)cc1OC"
"ASN 00801687","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3sc4c(c3C#N)CCCC4)c2C#N)cc1"
"ASN 00801689","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccc(C)cc3C)c2C#N)cc1"
"ASN 00801697","CCOC(=O)c1c(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccc(OC)cc3)c2C#N)sc2c1CCCC2"
"ASN 00801699","CCOC(=O)c1c(NC(=O)c2sc3nc(-c4ccccc4)cc(-c4ccc(OC)cc4)c3c2N)sc2c1CCCC2"
"ASN 00801701","COc1ccc(-c2cc(-c3ccccc3)nc(SC(C)C(=O)O)c2C#N)cc1"
"ASN 00801708","COc1ccc(-c2cc(-c3ccccc3)nc3sc(C(=O)Nc4nc(-c5ccc(Br)cc5)cs4)c(N)c23)cc1"
"ASN 00801709","COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)c3ccc(Cl)s3)c2C#N)cc1"
"ASN 00804503","CCOc1ccc(Cl)cc1S(=O)(=O)Nc1ccccn1"
